Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Median,Rank,Completed Work Items,Lock Contentions,Gen0,Gen1,Gen2,Allocated
Serialization_Text_SpanJson_To_Small,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,41.16 μs,0.596 μs,0.558 μs,40.99 μs,1,0.0000,0.0000,3.3569,0.4272,-,43.62 KB
Serialization_Text_Newtonsoft_To_Small,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,74.18 μs,0.698 μs,0.653 μs,74.16 μs,2,0.0000,0.0000,7.5684,1.8311,-,97.13 KB
Serialization_Text_SystemTextJson_To_Small,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,75.73 μs,1.234 μs,1.094 μs,75.53 μs,3,0.0000,0.0000,3.4180,0.4883,-,44.2 KB
Serialization_Text_FastJson_To_Small,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,150.44 μs,2.175 μs,2.035 μs,149.96 μs,4,0.0000,0.0000,13.6719,3.4180,-,176.94 KB
Serialization_Text_SpanJson_To_Medium,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"6,060.86 μs",109.844 μs,130.762 μs,"6,085.38 μs",5,0.0000,0.0000,7.8125,7.8125,7.8125,4394.7 KB
Serialization_Text_Newtonsoft_To_Medium,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"8,084.48 μs",158.893 μs,256.583 μs,"8,037.08 μs",6,0.0000,0.0000,375.0000,296.8750,-,9289.92 KB
Serialization_Text_SystemTextJson_To_Medium,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"8,426.76 μs",166.367 μs,304.211 μs,"8,389.43 μs",7,0.0000,0.0000,-,-,-,4396.98 KB
Serialization_Text_FastJson_To_Medium,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"16,322.73 μs",322.149 μs,472.201 μs,"16,253.23 μs",8,0.0000,0.0000,750.0000,625.0000,-,16462.97 KB
Serialization_Text_SpanJson_To_Large,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"470,224.07 μs","8,978.238 μs","8,398.249 μs","467,650.10 μs",9,0.0000,0.0000,-,-,-,443575.64 KB
Serialization_Text_SystemTextJson_To_Large,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"860,759.69 μs","16,243.516 μs","13,564.071 μs","862,960.30 μs",10,0.0000,0.0000,-,-,-,443476.04 KB
Serialization_Text_Newtonsoft_To_Large,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"1,443,230.66 μs","125,544.632 μs","370,171.179 μs","1,692,709.40 μs",11,0.0000,0.0000,39000.0000,38000.0000,1000.0000,935556.08 KB
Serialization_Text_FastJson_To_Large,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"1,819,561.52 μs","128,259.597 μs","378,176.316 μs","1,995,183.45 μs",12,0.0000,0.0000,76000.0000,75000.0000,1000.0000,1642510.78 KB
